year,level_1,level_2,level_3,level_4,value
2015,Total,15 - 19,Woodlands- Total,Woodlands South,2780
2015,Total,15 - 19,Woodlands- Total,Woodlands West,2350
2015,Total,15 - 19,Yishun- Total,Khatib,640
2015,Total,15 - 19,Yishun- Total,Lower Seletar,180
2015,Total,15 - 19,Yishun- Total,Nee Soon,50
2015,Total,15 - 19,Yishun- Total,Northland,1970
2015,Total,15 - 19,Yishun- Total,Springleaf,260
2015,Total,15 - 19,Yishun- Total,Yishun Central,110
2015,Total,15 - 19,Yishun- Total,Yishun East,3110
2015,Total,15 - 19,Yishun- Total,Yishun South,2350
2015,Total,15 - 19,Yishun- Total,Yishun West,3520
2015,Total,20 - 24,Ang Mo Kio- Total,Ang Mo Kio Town Centre,260
2015,Total,20 - 24,Ang Mo Kio- Total,Cheng San,1570
2015,Total,20 - 24,Ang Mo Kio- Total,Chong Boon,1520
2015,Total,20 - 24,Ang Mo Kio- Total,Kebun Bahru,1380
2015,Total,20 - 24,Ang Mo Kio- Total,Sembawang Hills,550
2015,Total,20 - 24,Ang Mo Kio- Total,Shangri-La,1120
2015,Total,20 - 24,Ang Mo Kio- Total,Tagore,740
2015,Total,20 - 24,Ang Mo Kio- Total,Townsville,1230
2015,Total,20 - 24,Ang Mo Kio- Total,Yio Chu Kang East,340
2015,Total,20 - 24,Ang Mo Kio- Total,Yio Chu Kang West,1610
2015,Total,20 - 24,Bedok- Total,Bayshore,340
2015,Total,20 - 24,Bedok- Total,Bedok North,5690
2015,Total,20 - 24,Bedok- Total,Bedok Reservoir,1540
2015,Total,20 - 24,Bedok- Total,Bedok South,3380
2015,Total,20 - 24,Bedok- Total,Frankel,2040
2015,Total,20 - 24,Bedok- Total,Kaki Bukit,3320
2015,Total,20 - 24,Bedok- Total,Kembangan,2650
2015,Total,20 - 24,Bedok- Total,Siglap,490
2015,Total,20 - 24,Bishan- Total,Bishan East,2080
2015,Total,20 - 24,Bishan- Total,Marymount,2630
2015,Total,20 - 24,Bishan- Total,Upper Thomson,2150
2015,Total,20 - 24,Bukit Batok- Total,Bukit Batok Central,1750
2015,Total,20 - 24,Bukit Batok- Total,Bukit Batok East,990
2015,Total,20 - 24,Bukit Batok- Total,Bukit Batok South,1210
2015,Total,20 - 24,Bukit Batok- Total,Bukit Batok West,1000
2015,Total,20 - 24,Bukit Batok- Total,Gombak,600
2015,Total,20 - 24,Bukit Batok- Total,Guilin,880
2015,Total,20 - 24,Bukit Batok- Total,Hillview,1510
2015,Total,20 - 24,Bukit Batok- Total,Hong Kah North,2150
2015,Total,20 - 24,Bukit Merah- Total,Alexandra Hill,960
2015,Total,20 - 24,Bukit Merah- Total,Alexandra North,30
2015,Total,20 - 24,Bukit Merah- Total,Bukit Ho Swee,780
2015,Total,20 - 24,Bukit Merah- Total,Bukit Merah,60
2015,Total,20 - 24,Bukit Merah- Total,Depot Road,250
2015,Total,20 - 24,Bukit Merah- Total,Everton Park,420
2015,Total,20 - 24,Bukit Merah- Total,Henderson Hill,730
2015,Total,20 - 24,Bukit Merah- Total,Kampong Tiong Bahru,530
2015,Total,20 - 24,Bukit Merah- Total,Maritime Square,100
2015,Total,20 - 24,Bukit Merah- Total,Redhill,580
2015,Total,20 - 24,Bukit Merah- Total,Telok Blangah Drive,780
2015,Total,20 - 24,Bukit Merah- Total,Telok Blangah Rise,770
2015,Total,20 - 24,Bukit Merah- Total,Telok Blangah Way,490
2015,Total,20 - 24,Bukit Merah- Total,Tiong Bahru,440
2015,Total,20 - 24,Bukit Merah- Total,Tiong Bahru Station,790
2015,Total,20 - 24,Bukit Panjang- Total,Bangkit,1990
2015,Total,20 - 24,Bukit Panjang- Total,Dairy Farm,420
2015,Total,20 - 24,Bukit Panjang- Total,Fajar,2060
2015,Total,20 - 24,Bukit Panjang- Total,Jelebu,2780
2015,Total,20 - 24,Bukit Panjang- Total,Nature Reserve,270
2015,Total,20 - 24,Bukit Panjang- Total,Saujana,1780
2015,Total,20 - 24,Bukit Panjang- Total,Senja,1110
2015,Total,20 - 24,Bukit Timah- Total,Anak Bukit,1800
2015,Total,20 - 24,Bukit Timah- Total,Coronation Road,360
2015,Total,20 - 24,Bukit Timah- Total,Farrer Court,230
2015,Total,20 - 24,Bukit Timah- Total,Hillcrest,490
2015,Total,20 - 24,Bukit Timah- Total,Holland Road,620
2015,Total,20 - 24,Bukit Timah- Total,Leedon Park,390
2015,Total,20 - 24,Bukit Timah- Total,Swiss Club,370
2015,Total,20 - 24,Bukit Timah- Total,Ulu Pandan,720
2015,Total,20 - 24,Changi- Total,Changi Point,40
2015,Total,20 - 24,Changi- Total,Changi West,90
2015,Total,20 - 24,Choa Chu Kang- Total,Choa Chu Kang Central,1980
2015,Total,20 - 24,Choa Chu Kang- Total,Choa Chu Kang North,3290
2015,Total,20 - 24,Choa Chu Kang- Total,Keat Hong,1580
2015,Total,20 - 24,Choa Chu Kang- Total,Peng Siang,2810
2015,Total,20 - 24,Choa Chu Kang- Total,Teck Whye,2500
2015,Total,20 - 24,Choa Chu Kang- Total,Yew Tee,3070
2015,Total,20 - 24,Clementi- Total,Clementi Central,700
2015,Total,20 - 24,Clementi- Total,Clementi North,1360
2015,Total,20 - 24,Clementi- Total,Clementi West,890
2015,Total,20 - 24,Clementi- Total,Clementi Woods,860
2015,Total,20 - 24,Clementi- Total,Faber,290
2015,Total,20 - 24,Clementi- Total,Sunset Way,410
2015,Total,20 - 24,Clementi- Total,West Coast,340
2015,Total,20 - 24,Downtown Core- Total,Bugis,110
2015,Total,20 - 24,Downtown Core- Total,Central Subzone,20
2015,Total,20 - 24,Downtown Core- Total,Tanjong Pagar,10
2015,Total,20 - 24,Geylang- Total,Aljunied,2450
2015,Total,20 - 24,Geylang- Total,Geylang East,2100
2015,Total,20 - 24,Geylang- Total,Kampong Ubi,1080
2015,Total,20 - 24,Geylang- Total,Macpherson,1910
2015,Total,20 - 24,Hougang- Total,Hougang Central,410
2015,Total,20 - 24,Hougang- Total,Hougang East,1910
2015,Total,20 - 24,Hougang- Total,Hougang West,4190
2015,Total,20 - 24,Hougang- Total,Kangkar,1790
2015,Total,20 - 24,Hougang- Total,Kovan,2000
2015,Total,20 - 24,Hougang- Total,Lorong Ah Soo,2230
2015,Total,20 - 24,Hougang- Total,Tai Seng,1050
2015,Total,20 - 24,Hougang- Total,Trafalgar,3250
2015,Total,20 - 24,Jurong East- Total,Lakeside,60
2015,Total,20 - 24,Jurong East- Total,Teban Gardens,1180
2015,Total,20 - 24,Jurong East- Total,Toh Guan,1260
2015,Total,20 - 24,Jurong East- Total,Yuhua East,1800
2015,Total,20 - 24,Jurong East- Total,Yuhua West,1450
2015,Total,20 - 24,Jurong West- Total,Boon Lay Place,1990
2015,Total,20 - 24,Jurong West- Total,Hong Kah,3820
2015,Total,20 - 24,Jurong West- Total,Jurong West Central,3840
2015,Total,20 - 24,Jurong West- Total,Taman Jurong,2600
2015,Total,20 - 24,Jurong West- Total,Wenya,360
2015,Total,20 - 24,Jurong West- Total,Yunnan,6470
2015,Total,20 - 24,Kallang- Total,Bendemeer,1690
2015,Total,20 - 24,Kallang- Total,Boon Keng,610
2015,Total,20 - 24,Kallang- Total,Crawford,460
2015,Total,20 - 24,Kallang- Total,Geylang Bahru,660
2015,Total,20 - 24,Kallang- Total,Kampong Bugis,60
2015,Total,20 - 24,Kallang- Total,Kampong Java,580
2015,Total,20 - 24,Kallang- Total,Lavender,530
2015,Total,20 - 24,Kallang- Total,Tanjong Rhu,520
2015,Total,20 - 24,Mandai- Total,Mandai Estate,150
2015,Total,20 - 24,Marine Parade- Total,Katong,590
2015,Total,20 - 24,Marine Parade- Total,Marine Parade,1460
2015,Total,20 - 24,Marine Parade- Total,Mountbatten,640
2015,Total,20 - 24,Museum- Total,Dhoby Ghaut,10
2015,Total,20 - 24,Newton- Total,Cairnhill,160
2015,Total,20 - 24,Newton- Total,Goodwood Park,40
2015,Total,20 - 24,Newton- Total,Monk's Hill,50
2015,Total,20 - 24,Newton- Total,Newton Circus,10
2015,Total,20 - 24,Newton- Total,Orange Grove,70
2015,Total,20 - 24,Novena- Total,Balestier,1740
2015,Total,20 - 24,Novena- Total,Dunearn,250
2015,Total,20 - 24,Novena- Total,Malcolm,170
2015,Total,20 - 24,Novena- Total,Moulmein,350
2015,Total,20 - 24,Novena- Total,Mount Pleasant,50
2015,Total,20 - 24,Orchard- Total,Boulevard,10
2015,Total,20 - 24,Orchard- Total,Tanglin,20
2015,Total,20 - 24,Outram- Total,China Square,70
2015,Total,20 - 24,Outram- Total,Chinatown,410
2015,Total,20 - 24,Outram- Total,Pearl's Hill,340
2015,Total,20 - 24,Outram- Total,People's Park,20
2015,Total,20 - 24,Pasir Ris- Total,Flora Drive,1030
2015,Total,20 - 24,Pasir Ris- Total,Loyang East,200
2015,Total,20 - 24,Pasir Ris- Total,Pasir Ris Central,2320
2015,Total,20 - 24,Pasir Ris- Total,Pasir Ris Drive,6330
2015,Total,20 - 24,Pasir Ris- Total,Pasir Ris Park,190
2015,Total,20 - 24,Pasir Ris- Total,Pasir Ris West,3340
2015,Total,20 - 24,Punggol- Total,Matilda,920
2015,Total,20 - 24,Punggol- Total,Northshore,20
2015,Total,20 - 24,Punggol- Total,Punggol Field,1970
2015,Total,20 - 24,Punggol- Total,Punggol Town Centre,150
2015,Total,20 - 24,Punggol- Total,Waterway East,880
2015,Total,20 - 24,Queenstown- Total,Commonwealth,380
2015,Total,20 - 24,Queenstown- Total,Dover,800
2015,Total,20 - 24,Queenstown- Total,Ghim Moh,630
2015,Total,20 - 24,Queenstown- Total,Holland Drive,630
2015,Total,20 - 24,Queenstown- Total,Kent Ridge,60
2015,Total,20 - 24,Queenstown- Total,Margaret Drive,450
2015,Total,20 - 24,Queenstown- Total,Mei Chin,1030
2015,Total,20 - 24,Queenstown- Total,National University of S'pore,170
2015,Total,20 - 24,Queenstown- Total,One North,20
2015,Total,20 - 24,Queenstown- Total,Pasir Panjang 1,260
2015,Total,20 - 24,Queenstown- Total,Pasir Panjang 2,250
2015,Total,20 - 24,Queenstown- Total,Port,10
2015,Total,20 - 24,Queenstown- Total,Queensway,20
2015,Total,20 - 24,Queenstown- Total,Singapore Polytechnic,10
2015,Total,20 - 24,Queenstown- Total,Tanglin Halt,570
2015,Total,20 - 24,River Valley- Total,Institution Hill,150
2015,Total,20 - 24,River Valley- Total,Leonie Hill,130
2015,Total,20 - 24,River Valley- Total,One Tree Hill,110
2015,Total,20 - 24,River Valley- Total,Oxley,70
2015,Total,20 - 24,River Valley- Total,Paterson,10
2015,Total,20 - 24,Rochor- Total,Bencoolen,70
2015,Total,20 - 24,Rochor- Total,Farrer Park,130
2015,Total,20 - 24,Rochor- Total,Little India,210
2015,Total,20 - 24,Rochor- Total,Mount Emily,30
2015,Total,20 - 24,Rochor- Total,Selegie,20
2015,Total,20 - 24,Rochor- Total,Sungei Road,130
2015,Total,20 - 24,Rochor- Total,Victoria,100
2015,Total,20 - 24,Seletar- Total,Seletar,10
2015,Total,20 - 24,Sembawang- Total,Admiralty,700
2015,Total,20 - 24,Sembawang- Total,Sembawang Central,1900
2015,Total,20 - 24,Sembawang- Total,Sembawang North,1460
2015,Total,20 - 24,Sembawang- Total,Sembawang Springs,290
2015,Total,20 - 24,Sembawang- Total,Sembawang Straits,130
2015,Total,20 - 24,Sengkang- Total,Anchorvale,1620
2015,Total,20 - 24,Sengkang- Total,Compassvale,570
2015,Total,20 - 24,Sengkang- Total,Fernvale,1310
2015,Total,20 - 24,Sengkang- Total,Rivervale,3930
2015,Total,20 - 24,Sengkang- Total,Sengkang Town Centre,3450
2015,Total,20 - 24,Serangoon- Total,Lorong Chuan,680
2015,Total,20 - 24,Serangoon- Total,Seletar Hills,1100
2015,Total,20 - 24,Serangoon- Total,Serangoon Central,1810
2015,Total,20 - 24,Serangoon- Total,Serangoon Garden,2790
2015,Total,20 - 24,Serangoon- Total,Serangoon North,1550
2015,Total,20 - 24,Serangoon- Total,Upper Paya Lebar,1230
2015,Total,20 - 24,Singapore River- Total,Robertson Quay,80
2015,Total,20 - 24,Southern Islands- Total,Sentosa,80
2015,Total,20 - 24,Sungei Kadut- Total,Turf Club,40
2015,Total,20 - 24,Tampines- Total,Simei,3310
2015,Total,20 - 24,Tampines- Total,Tampines East,11610
2015,Total,20 - 24,Tampines- Total,Tampines West,6280
2015,Total,20 - 24,Tampines- Total,Xilin,180
2015,Total,20 - 24,Tanglin- Total,Chatsworth,250
2015,Total,20 - 24,Tanglin- Total,Nassim,430
2015,Total,20 - 24,Tanglin- Total,Ridout,80
2015,Total,20 - 24,Tanglin- Total,Tyersall,210
2015,Total,20 - 24,Toa Payoh- Total,Boon Teck,950
2015,Total,20 - 24,Toa Payoh- Total,Braddell,690
2015,Total,20 - 24,Toa Payoh- Total,Joo Seng,400
2015,Total,20 - 24,Toa Payoh- Total,Kim Keat,600
2015,Total,20 - 24,Toa Payoh- Total,Lorong 8 Toa Payoh,540
2015,Total,20 - 24,Toa Payoh- Total,Pei Chun,620
2015,Total,20 - 24,Toa Payoh- Total,Potong Pasir,720
2015,Total,20 - 24,Toa Payoh- Total,Sennett,330
2015,Total,20 - 24,Toa Payoh- Total,Toa Payoh Central,1620
2015,Total,20 - 24,Toa Payoh- Total,Toa Payoh West,710
2015,Total,20 - 24,Toa Payoh- Total,Woodleigh,170
2015,Total,20 - 24,Western Water Catchment- Total,Western Water Catchment,130
2015,Total,20 - 24,Woodlands- Total,Midview,3290
2015,Total,20 - 24,Woodlands- Total,North Coast,1190
2015,Total,20 - 24,Woodlands- Total,Woodgrove,3450
2015,Total,20 - 24,Woodlands- Total,Woodlands East,6860
2015,Total,20 - 24,Woodlands- Total,Woodlands South,2310
2015,Total,20 - 24,Woodlands- Total,Woodlands West,2950
2015,Total,20 - 24,Yishun- Total,Khatib,920
2015,Total,20 - 24,Yishun- Total,Lower Seletar,140
2015,Total,20 - 24,Yishun- Total,Nee Soon,50
2015,Total,20 - 24,Yishun- Total,Northland,2380
2015,Total,20 - 24,Yishun- Total,Springleaf,350
2015,Total,20 - 24,Yishun- Total,Yishun Central,150
2015,Total,20 - 24,Yishun- Total,Yishun East,3600
2015,Total,20 - 24,Yishun- Total,Yishun South,3120
2015,Total,20 - 24,Yishun- Total,Yishun West,3930
2015,Total,25 - 29,Ang Mo Kio- Total,Ang Mo Kio Town Centre,310
2015,Total,25 - 29,Ang Mo Kio- Total,Cheng San,1830
2015,Total,25 - 29,Ang Mo Kio- Total,Chong Boon,1800
2015,Total,25 - 29,Ang Mo Kio- Total,Kebun Bahru,1490
2015,Total,25 - 29,Ang Mo Kio- Total,Sembawang Hills,450
2015,Total,25 - 29,Ang Mo Kio- Total,Shangri-La,1170
2015,Total,25 - 29,Ang Mo Kio- Total,Tagore,650
2015,Total,25 - 29,Ang Mo Kio- Total,Townsville,1480
2015,Total,25 - 29,Ang Mo Kio- Total,Yio Chu Kang East,290
2015,Total,25 - 29,Ang Mo Kio- Total,Yio Chu Kang West,1710
2015,Total,25 - 29,Bedok- Total,Bayshore,320
2015,Total,25 - 29,Bedok- Total,Bedok North,5600
2015,Total,25 - 29,Bedok- Total,Bedok Reservoir,1830
2015,Total,25 - 29,Bedok- Total,Bedok South,3510
2015,Total,25 - 29,Bedok- Total,Frankel,1910
2015,Total,25 - 29,Bedok- Total,Kaki Bukit,3410
2015,Total,25 - 29,Bedok- Total,Kembangan,2860
2015,Total,25 - 29,Bedok- Total,Siglap,430
2015,Total,25 - 29,Bishan- Total,Bishan East,2390
2015,Total,25 - 29,Bishan- Total,Marymount,2110
2015,Total,25 - 29,Bishan- Total,Upper Thomson,1970
2015,Total,25 - 29,Bukit Batok- Total,Bukit Batok Central,2110
2015,Total,25 - 29,Bukit Batok- Total,Bukit Batok East,1180
2015,Total,25 - 29,Bukit Batok- Total,Bukit Batok South,1090
2015,Total,25 - 29,Bukit Batok- Total,Bukit Batok West,1120
2015,Total,25 - 29,Bukit Batok- Total,Gombak,600
2015,Total,25 - 29,Bukit Batok- Total,Guilin,930
2015,Total,25 - 29,Bukit Batok- Total,Hillview,1100
2015,Total,25 - 29,Bukit Batok- Total,Hong Kah North,2340
2015,Total,25 - 29,Bukit Merah- Total,Alexandra Hill,1020
2015,Total,25 - 29,Bukit Merah- Total,Alexandra North,60
2015,Total,25 - 29,Bukit Merah- Total,Bukit Ho Swee,1040
2015,Total,25 - 29,Bukit Merah- Total,Bukit Merah,80
2015,Total,25 - 29,Bukit Merah- Total,Depot Road,260
2015,Total,25 - 29,Bukit Merah- Total,Everton Park,540
2015,Total,25 - 29,Bukit Merah- Total,Henderson Hill,780
2015,Total,25 - 29,Bukit Merah- Total,Kampong Tiong Bahru,640
2015,Total,25 - 29,Bukit Merah- Total,Maritime Square,100
2015,Total,25 - 29,Bukit Merah- Total,Redhill,710
2015,Total,25 - 29,Bukit Merah- Total,Telok Blangah Drive,950
2015,Total,25 - 29,Bukit Merah- Total,Telok Blangah Rise,860
2015,Total,25 - 29,Bukit Merah- Total,Telok Blangah Way,540
2015,Total,25 - 29,Bukit Merah- Total,Tiong Bahru,780
2015,Total,25 - 29,Bukit Merah- Total,Tiong Bahru Station,980
2015,Total,25 - 29,Bukit Panjang- Total,Bangkit,2000
2015,Total,25 - 29,Bukit Panjang- Total,Dairy Farm,380
2015,Total,25 - 29,Bukit Panjang- Total,Fajar,2150
2015,Total,25 - 29,Bukit Panjang- Total,Jelebu,2540
2015,Total,25 - 29,Bukit Panjang- Total,Nature Reserve,240
2015,Total,25 - 29,Bukit Panjang- Total,Saujana,2250
2015,Total,25 - 29,Bukit Panjang- Total,Senja,1420
2015,Total,25 - 29,Bukit Timah- Total,Anak Bukit,1550
2015,Total,25 - 29,Bukit Timah- Total,Coronation Road,330
2015,Total,25 - 29,Bukit Timah- Total,Farrer Court,230
2015,Total,25 - 29,Bukit Timah- Total,Hillcrest,400
2015,Total,25 - 29,Bukit Timah- Total,Holland Road,500
2015,Total,25 - 29,Bukit Timah- Total,Leedon Park,340
2015,Total,25 - 29,Bukit Timah- Total,Swiss Club,320
2015,Total,25 - 29,Bukit Timah- Total,Ulu Pandan,640
2015,Total,25 - 29,Changi- Total,Changi Point,40
2015,Total,25 - 29,Changi- Total,Changi West,70
2015,Total,25 - 29,Choa Chu Kang- Total,Choa Chu Kang Central,1500
2015,Total,25 - 29,Choa Chu Kang- Total,Choa Chu Kang North,2160
2015,Total,25 - 29,Choa Chu Kang- Total,Keat Hong,1060
2015,Total,25 - 29,Choa Chu Kang- Total,Peng Siang,2420
2015,Total,25 - 29,Choa Chu Kang- Total,Teck Whye,2050
2015,Total,25 - 29,Choa Chu Kang- Total,Yew Tee,2750
2015,Total,25 - 29,Clementi- Total,Clementi Central,780
2015,Total,25 - 29,Clementi- Total,Clementi North,1850
2015,Total,25 - 29,Clementi- Total,Clementi West,1000
2015,Total,25 - 29,Clementi- Total,Clementi Woods,1160
2015,Total,25 - 29,Clementi- Total,Faber,290
2015,Total,25 - 29,Clementi- Total,Sunset Way,460
2015,Total,25 - 29,Clementi- Total,West Coast,280
2015,Total,25 - 29,Downtown Core- Total,Bugis,130
2015,Total,25 - 29,Downtown Core- Total,Cecil,10
2015,Total,25 - 29,Downtown Core- Total,Central Subzone,30
2015,Total,25 - 29,Downtown Core- Total,Tanjong Pagar,30
2015,Total,25 - 29,Geylang- Total,Aljunied,2810
2015,Total,25 - 29,Geylang- Total,Geylang East,2250
2015,Total,25 - 29,Geylang- Total,Kampong Ubi,1210
2015,Total,25 - 29,Geylang- Total,Macpherson,1860
2015,Total,25 - 29,Hougang- Total,Hougang Central,380
2015,Total,25 - 29,Hougang- Total,Hougang East,2020
2015,Total,25 - 29,Hougang- Total,Hougang West,4250
2015,Total,25 - 29,Hougang- Total,Kangkar,1870
2015,Total,25 - 29,Hougang- Total,Kovan,1930
2015,Total,25 - 29,Hougang- Total,Lorong Ah Soo,2340
2015,Total,25 - 29,Hougang- Total,Tai Seng,1020
2015,Total,25 - 29,Hougang- Total,Trafalgar,2840
2015,Total,25 - 29,Jurong East- Total,Lakeside,80
2015,Total,25 - 29,Jurong East- Total,Teban Gardens,1320
2015,Total,25 - 29,Jurong East- Total,Toh Guan,1400
2015,Total,25 - 29,Jurong East- Total,Yuhua East,2090
2015,Total,25 - 29,Jurong East- Total,Yuhua West,1670
2015,Total,25 - 29,Jurong West- Total,Boon Lay Place,2280
2015,Total,25 - 29,Jurong West- Total,Hong Kah,4320
2015,Total,25 - 29,Jurong West- Total,Jurong West Central,4970
2015,Total,25 - 29,Jurong West- Total,Taman Jurong,2620
2015,Total,25 - 29,Jurong West- Total,Wenya,530
2015,Total,25 - 29,Jurong West- Total,Yunnan,5210
2015,Total,25 - 29,Kallang- Total,Bendemeer,2260
2015,Total,25 - 29,Kallang- Total,Boon Keng,680
2015,Total,25 - 29,Kallang- Total,Crawford,480
2015,Total,25 - 29,Kallang- Total,Geylang Bahru,780
2015,Total,25 - 29,Kallang- Total,Kampong Bugis,80
2015,Total,25 - 29,Kallang- Total,Kampong Java,640
2015,Total,25 - 29,Kallang- Total,Lavender,640
2015,Total,25 - 29,Kallang- Total,Tanjong Rhu,570
2015,Total,25 - 29,Mandai- Total,Mandai Estate,140
2015,Total,25 - 29,Marine Parade- Total,Katong,520
2015,Total,25 - 29,Marine Parade- Total,Marine Parade,1490
2015,Total,25 - 29,Marine Parade- Total,Mountbatten,600
2015,Total,25 - 29,Museum- Total,Dhoby Ghaut,10
2015,Total,25 - 29,Newton- Total,Cairnhill,180
2015,Total,25 - 29,Newton- Total,Goodwood Park,40
2015,Total,25 - 29,Newton- Total,Monk's Hill,50
2015,Total,25 - 29,Newton- Total,Newton Circus,10
2015,Total,25 - 29,Newton- Total,Orange Grove,70
2015,Total,25 - 29,Novena- Total,Balestier,1860
2015,Total,25 - 29,Novena- Total,Dunearn,190
2015,Total,25 - 29,Novena- Total,Malcolm,130
2015,Total,25 - 29,Novena- Total,Moulmein,410
2015,Total,25 - 29,Novena- Total,Mount Pleasant,50
2015,Total,25 - 29,Orchard- Total,Boulevard,30
2015,Total,25 - 29,Orchard- Total,Somerset,10
2015,Total,25 - 29,Orchard- Total,Tanglin,20
2015,Total,25 - 29,Outram- Total,China Square,90
2015,Total,25 - 29,Outram- Total,Chinatown,530
2015,Total,25 - 29,Outram- Total,Pearl's Hill,500
2015,Total,25 - 29,Outram- Total,People's Park,40
2015,Total,25 - 29,Pasir Ris- Total,Flora Drive,750
2015,Total,25 - 29,Pasir Ris- Total,Loyang East,150
2015,Total,25 - 29,Pasir Ris- Total,Pasir Ris Central,1970
2015,Total,25 - 29,Pasir Ris- Total,Pasir Ris Drive,4110
2015,Total,25 - 29,Pasir Ris- Total,Pasir Ris Park,150
2015,Total,25 - 29,Pasir Ris- Total,Pasir Ris West,1970
2015,Total,25 - 29,Punggol- Total,Matilda,2290
2015,Total,25 - 29,Punggol- Total,Northshore,20
2015,Total,25 - 29,Punggol- Total,Punggol Field,2130
2015,Total,25 - 29,Punggol- Total,Punggol Town Centre,540
2015,Total,25 - 29,Punggol- Total,Waterway East,1780
2015,Total,25 - 29,Queenstown- Total,Commonwealth,530
2015,Total,25 - 29,Queenstown- Total,Dover,800
2015,Total,25 - 29,Queenstown- Total,Ghim Moh,730
2015,Total,25 - 29,Queenstown- Total,Holland Drive,810
2015,Total,25 - 29,Queenstown- Total,Kent Ridge,100
2015,Total,25 - 29,Queenstown- Total,Margaret Drive,670
2015,Total,25 - 29,Queenstown- Total,Mei Chin,1060
2015,Total,25 - 29,Queenstown- Total,National University of S'pore,60
2015,Total,25 - 29,Queenstown- Total,One North,20
2015,Total,25 - 29,Queenstown- Total,Pasir Panjang 1,280
2015,Total,25 - 29,Queenstown- Total,Pasir Panjang 2,260
2015,Total,25 - 29,Queenstown- Total,Port,10
2015,Total,25 - 29,Queenstown- Total,Queensway,20
2015,Total,25 - 29,Queenstown- Total,Singapore Polytechnic,10
2015,Total,25 - 29,Queenstown- Total,Tanglin Halt,780
2015,Total,25 - 29,River Valley- Total,Institution Hill,190
2015,Total,25 - 29,River Valley- Total,Leonie Hill,130
2015,Total,25 - 29,River Valley- Total,One Tree Hill,90
2015,Total,25 - 29,River Valley- Total,Oxley,90
2015,Total,25 - 29,River Valley- Total,Paterson,10
2015,Total,25 - 29,Rochor- Total,Bencoolen,90
2015,Total,25 - 29,Rochor- Total,Farrer Park,180
2015,Total,25 - 29,Rochor- Total,Kampong Glam,10
2015,Total,25 - 29,Rochor- Total,Little India,230
2015,Total,25 - 29,Rochor- Total,Mount Emily,60
2015,Total,25 - 29,Rochor- Total,Selegie,20
2015,Total,25 - 29,Rochor- Total,Sungei Road,170
2015,Total,25 - 29,Rochor- Total,Victoria,130
2015,Total,25 - 29,Sembawang- Total,Admiralty,1020
2015,Total,25 - 29,Sembawang- Total,Sembawang Central,2050
2015,Total,25 - 29,Sembawang- Total,Sembawang North,1710
2015,Total,25 - 29,Sembawang- Total,Sembawang Springs,240
2015,Total,25 - 29,Sembawang- Total,Sembawang Straits,100
2015,Total,25 - 29,Sengkang- Total,Anchorvale,3000
2015,Total,25 - 29,Sengkang- Total,Compassvale,1170
2015,Total,25 - 29,Sengkang- Total,Fernvale,2740
2015,Total,25 - 29,Sengkang- Total,Rivervale,4080
2015,Total,25 - 29,Sengkang- Total,Sengkang Town Centre,3340
2015,Total,25 - 29,Serangoon- Total,Lorong Chuan,540
2015,Total,25 - 29,Serangoon- Total,Seletar Hills,970
2015,Total,25 - 29,Serangoon- Total,Serangoon Central,2210
2015,Total,25 - 29,Serangoon- Total,Serangoon Garden,2860
2015,Total,25 - 29,Serangoon- Total,Serangoon North,1190
2015,Total,25 - 29,Serangoon- Total,Upper Paya Lebar,1270
2015,Total,25 - 29,Singapore River- Total,Boat Quay,10
2015,Total,25 - 29,Singapore River- Total,Clarke Quay,10
2015,Total,25 - 29,Singapore River- Total,Robertson Quay,80
2015,Total,25 - 29,Southern Islands- Total,Sentosa,70
2015,Total,25 - 29,Sungei Kadut- Total,Turf Club,50
2015,Total,25 - 29,Tampines- Total,Simei,2970
2015,Total,25 - 29,Tampines- Total,Tampines East,10970
2015,Total,25 - 29,Tampines- Total,Tampines West,6340
2015,Total,25 - 29,Tampines- Total,Xilin,130
2015,Total,25 - 29,Tanglin- Total,Chatsworth,260
2015,Total,25 - 29,Tanglin- Total,Nassim,360
2015,Total,25 - 29,Tanglin- Total,Ridout,70
2015,Total,25 - 29,Tanglin- Total,Tyersall,200
2015,Total,25 - 29,Toa Payoh- Total,Boon Teck,900
2015,Total,25 - 29,Toa Payoh- Total,Braddell,690
2015,Total,25 - 29,Toa Payoh- Total,Joo Seng,440
2015,Total,25 - 29,Toa Payoh- Total,Kim Keat,650
2015,Total,25 - 29,Toa Payoh- Total,Lorong 8 Toa Payoh,490
2015,Total,25 - 29,Toa Payoh- Total,Pei Chun,640
2015,Total,25 - 29,Toa Payoh- Total,Potong Pasir,900
2015,Total,25 - 29,Toa Payoh- Total,Sennett,300
2015,Total,25 - 29,Toa Payoh- Total,Toa Payoh Central,1710
2015,Total,25 - 29,Toa Payoh- Total,Toa Payoh West,760
2015,Total,25 - 29,Toa Payoh- Total,Woodleigh,150
2015,Total,25 - 29,Western Water Catchment- Total,Western Water Catchment,80
2015,Total,25 - 29,Woodlands- Total,Midview,2570
2015,Total,25 - 29,Woodlands- Total,North Coast,1100
2015,Total,25 - 29,Woodlands- Total,Woodgrove,2570
2015,Total,25 - 29,Woodlands- Total,Woodlands East,6730
2015,Total,25 - 29,Woodlands- Total,Woodlands South,2490
2015,Total,25 - 29,Woodlands- Total,Woodlands West,2450
2015,Total,25 - 29,Yishun- Total,Khatib,900
